instancia,autoria,algoritmo,q_medio,q_desvio,t_medio
Djibouti,Sebastien,BTA,189062,2.879236009777594,2
Qatar,Sebastien,BTA,355662,2.879236009777594,11
Uruguay,Sebastien,BTA,63543,429.46031248533313,2
Western Sahara,Sebastien,BTA,626631,62.47111332447982,44
Zimbabwe,Sebastien,BTA,320041,189.9293552876964,56
